text,value
"اما یک نکته منفی در مورد این گوشی،  عدم وجود یک شکاف برای قرار گیری قلم در گوشی است که باعث می‌گردد همواره نگران گم شدن قلم باشید.",-1
* کیت تکامل هوشمند - Smart Evolution که به صورت جداگانه به فروش خواهد رسید در سال 2013 عرضه خواهد شد.,0
IOS :*محيط خشک و ايستا - مشتريان فقط استفاده کننده و نه توسعه دهنده*اجبار به استفاده از محيط خاص و محدود *نداشتن حق انتخاب چه براي ظاهر گوشي چه براي درون گوشي براي  خريد يک گوشي با سيستم عامل IOS فقط يک گزينه داريد و آن هم Iphone تمام.,-1
هر کي نخره ضرر کرده بازي هاي hd رو بدون کوچکترين مشکلي اجرا ميکنه.,+1
"سلام
تلويزيون هاي پلاسما عمر کمتري نسبت به led دارن و همين طور مقاومتشون در برابر ضربه کمتره در ضمن مصرف و گرما بيشتري هم دارن ولي اگه دنبال سايز بالا با قيمت پايين مي گردين مورده نسبتاً خوبيه ولي توصيه ميکنم بودجتون رو بالا ببرين و led بخرين يا اگه پلاسما خريدين حتما خيلي مراقب ضربه خوردن و ريختن آب و..",-1
"نسبت به قيمتش کارايي هاي خوبي هم داره
",+1
"نویز،  کاسته شدن از غلظت رنگ ها و جزئیات وقتی که از ایزو 800 بالاتر می روید بدتر می شود تا در ایزوی 6400 به اوج خود برسد.",-1
• کنترل چند رسانه جهاني ـ اين وسيله در شنيدن موسيقي و پخش DVD کاربرد فراواني دارد.,+1
اين هارد ديسک در مقايسه با يکسري از هارد ديسک هاي موجود در بازار از نقاط قوت خوبي بهره ميبرد.,+1
)تا بتونه استفاده کننگان از محصولاتش رو بيشتر نسبت به ضعف هاي محصولاتش گمراه کنه.,-1
اين گوشي در رنگ ها و استايل هاي مختلفي نيز عرضه مي شود که در زير نمونه اي از اين رنگ ها را مشاهده مي کنيد.,+1
این یعنی امکان ذخیره و نگهداری تا 50 برگ را دارد.,0
اين دوربين مهم‌ترين امکانش همين لنز خيلي خوب و قوي هست.,+2
نميدانم چرا دوستان از پرداختن به برندهاي معروفي همچون المپوس  که سابقه درخشاني در  صنعت عکاسي دارد خودداري ميکنند.,0
با عرض سلام خدمت دوستان عزيز.,0
طراحی این لپ‌تاپ‌ها بسیار خوب بوده و مواد اولیه استفاده شده در ساخت آن‌ها بسیار مرغوب می‌باشند.,+2
"تجربه نشان مي دهد وقتي يک گوشي با برند نوکيا مي خري آنقدر با کيفيت است که مي ماند تا ازش خسته بشي
من دو سال ان 8 داشتم که ديگر خودم ازش خسته شدم و به قيمتي که خريده بودم فروختم ",0
وضوع تصاوير يکم پايينه.,-1
"با توجه به اینکه تغییرات زیادی در این دوربین نسبت به مدل پیشین وجود ندارد،  به احتمال زیاد باید شاهد نتایجی مشابه باشیم.",0
دوستان من يک ماه قبل اين دوربين را خريدم و بعد از دو روز ان را با ضرر فروختم .,-1
"طراحی و ساخت از نظر طراحی و کیفیت ساخت،  می‌توان گفت که هواوی در مورد این تبلت سنگ تمام گذاشته است.",+1
لپ تاپ بسيار عالي و کارآمدي ميباشد و هم به درد خونه و هم محل کار ميخوره .,+2
ارتباط مولتي مديا عالي با ويندوز مديا سنتر و ويندوز ۷ .,+2
اين گوشي فوق العاده اس شگفت انگيز و باور نکردني  چرا که وقتي شما اون تو دستاتون ميگيريد ميفهميد که پولتون رو دور نريختين و مطمئن باشيد که تمام نياز هاي شما را  برطرف ميکنه حتي بعضي موقع ها باعث ميشه که مدت ها پشت لپ تاپ و کامپيوتر هم نشينيد چرا تمام کار هاي مربوط به خودشو ميتونين با خودش انجام بدين و به چيز ديگه اي نياز نداريد و اکثر نياز هاي روز مره مثل چک کردن ايميل اکانت هاي مختلف تون رو ميتونيد باهاش انجام بديد حتي بعضي از کار هاي تخصصي تر هم ميتونيد با اون انجام بديد!,+2
